param,value,obj_value,obj_A,obj_B,obj_alt,regime,is_anchor,converged,theta_v_max_1,theta_Ka2_1,theta_Ka3_1,theta_Ks_g6p_pgi,theta_kcat_f_2,theta_kcat_f_3,theta_Ks_fbp_4,theta_kcat_f_4,theta_kcat_f_5,theta_kcat_f_6,theta_kcat_f_7,theta_kcat_f_8,theta_Ks_3pg_8,theta_kcat_f_9,theta_Ks_2pg_9,theta_K_g6p_1
K_g6p_1,6.954645420920897,99.27230934956835,99.27230934956835,116.85284888970723,116.85284888970723,B,False,True,64.20721163920535,0.5268306664858291,3.6186452407965755,3.6056753060862725,534.2879968890724,535.0173335661258,0.04180526660619479,5.129441040505902,5023.683073395655,151.90917592028816,684.3507331643056,652.986942572326,3.2139744998245527,488.4421247850694,0.002190057696868545,
K_g6p_1,6.641634815387388,116.3533991992589,116.3533991992589,139.01304390011393,139.01304390011393,B,False,True,70.54442055804631,0.015396037927752609,4.646509092944569,6.044762944237996,560.8540100831426,645.7613973491101,1.3101231956326334,59.51865872637288,5033.62235955585,7.8167816255225535,512.6624155387336,685.4730382288608,2.2787134506690347,497.02106471533085,0.0016704834751231628,
K_g6p_1,6.342712007756804,83.96239171455149,83.96239171455149,135.62395487046723,135.62395487046723,A,False,True,78.58530109946862,0.031084419264584027,5.919020232175701,2.0144467784010804,524.6401515747152,761.2870425900504,0.003128627588233357,3.667029453551124,5016.207028046606,65.34957812550937,883.3542399367283,787.0867128846069,1.8701126191324997,475.30784038125614,0.0049090168604600274,
K_g6p_1,6.057242942676884,82.09817612233488,82.09817612233488,125.86384854111996,125.86384854111996,A,False,True,71.61587574104476,0.018237079198894973,6.358932322178107,2.3950831921636917,516.0998376629029,711.1347173171935,0.003128847418761967,3.6670941080989103,5082.523715365977,106.01734141514808,822.6576506811828,735.8297922936882,1.8340368763070312,465.0456746170712,0.0039483203288555365,
K_g6p_1,5.78462210198709,104.52433187907864,104.52433187907864,119.25850571007732,119.25850571007732,B,False,True,65.3452284153757,0.6060391096051347,7.206196199284545,4.477814221311792,522.7989897244078,599.7700264996892,0.06033313608853189,5.885214005371205,5102.052066123832,208.61823993382342,696.2040677486,641.5558043433062,3.364631192923344,481.7688064039091,0.7635412903135005,
K_g6p_1,5.524271220333405,102.81888771143839,102.81888771143839,115.60907882301252,115.60907882301252,B,False,True,68.29998443809414,0.011147934090005335,6.316376411018501,2.7831154750793496,519.7358271318557,693.0800479451317,0.12154780286657975,8.362008457771337,5025.654296040362,79.86799757103927,702.9811354531302,698.1719431646461,2.104816025135263,403.8777025243474,0.002752671144073902,
K_g6p_1,11.468994016038415,122.99009942282063,127.87927169123044,122.99009942282063,127.87927169123044,B,False,True,72.16745628441136,0.015216455964341864,5.687793870029281,6.650058391695954,579.0617520031416,629.4306078144161,10.672120917470332,453.0672432725161,5034.908132395634,507.7971605954234,514.3253811855401,682.9243601166959,2.512521275326379,567.172799461528,6.408736298955467,
K_g6p_1,11.933714940517708,84.59229970719099,84.59229970719099,132.92529907870596,132.92529907870596,A,False,True,75.61035365994269,0.01798776914448643,6.589546943576107,4.784314940380733,530.5820466854823,765.7186827329884,0.0031284106163542882,3.6668561658284062,2382.730674107728,375.4146598027515,986.0279752017393,578.1154218580992,1.9081703169589133,282.28581709742707,0.00286612800490787,
K_g6p_1,12.41726624692473,84.44309363950444,84.44309363950444,129.68825618145058,129.68825618145058,A,False,True,75.61901141872495,0.02668195374210299,6.487407922782452,4.34567304137998,530.5862738918058,765.6612300939055,0.0031283861850404213,3.666823231594787,2382.7307252451865,375.4150282442883,986.0252440702244,578.1156884625063,1.8504649862402596,282.28616281812873,0.003037194515544138,
K_g6p_1,12.920410937880776,84.64938617640011,84.64938617640011,129.89977322800192,129.89977322800192,A,False,True,75.43018192593566,0.017270072153811208,8.044212370063859,4.2993345531901115,530.5880409603643,765.603832715215,0.0031343360390977725,3.6697417884147487,2382.7312962420965,375.46900207151316,985.9224468904669,578.1028789151673,2.1753361165920757,282.30117850469935,0.002364433550421607,
K_g6p_1,13.443942932692844,96.28459869311595,96.28459869311595,121.81148820136096,121.81148820136096,A,False,True,57.87293894787268,0.05075903121831839,2.730749498781544,4.024430680263587,531.7017264845757,410.77654001230223,0.0031194639664347983,3.6676313563922682,5198.398377058426,568.0735513650252,973.3059797650802,161.73740290412317,0.0018115757450687386,542.2455607579724,0.37201567190049817,
K_g6p_1,13.988688320090462,99.63735266555219,99.63735266555219,118.30495448379446,118.30495448379446,B,False,True,55.29045406842689,0.018375251324879483,5.3525333719297015,6.129150690409257,525.362163611658,420.7864883221926,0.0031104966752517667,3.66762005648431,5069.518260205309,521.7656924563845,943.2298073817391,168.90558625157553,0.001863958343339896,497.4185112800068,0.4306545398650726,
K_g6p_1,14.555506661723065,121.65271224132294,121.65271224132294,129.56367031012624,129.56367031012624,B,False,True,72.28077379100841,0.017540211272296744,5.573477511516525,6.556527552525385,580.734591501246,636.5339597658101,10.631818175929741,459.7249100115239,5035.51552010138,505.534475655854,516.0699481861118,681.4627366701245,2.5486451534732995,585.2964513371643,6.198689744910038,
K_g6p_1,15.145292348474767,94.79975703399732,94.79975703399732,116.5555642212423,116.5555642212423,A,False,True,51.56004766239084,0.09919494645796496,3.2849258003140025,4.028074763310795,535.9397543545912,424.26360242715873,0.0031222378597591314,3.66752624518209,5183.301027895247,577.0971115973789,971.6795248034693,162.33874134403086,0.0020442447581875446,542.9690667141219,0.28869553944996545,
K_g6p_1,15.758976011736763,114.03947786486528,129.28524083402849,114.03947786486528,129.28524083402849,B,False,True,76.92098929521585,0.017072067809803103,5.293338514776868,4.726847447106145,574.6384171008596,695.2640761116199,10.601512499321505,470.4349812851343,5035.448838918111,383.12672559960413,573.1364592691962,728.9380461164045,0.7375262897493431,562.3942803811774,4.240568170701758,
K_g6p_1,16.397525991864043,110.98021087427732,128.82690245721525,110.98021087427732,128.82690245721525,B,False,True,76.9422085240269,0.01991598329443016,4.981596222862921,3.441050615978941,574.6489960752947,695.2883970744269,10.698128258393522,470.43252548983264,5035.448850330976,383.12724527474813,573.1381415559615,728.9382531948394,0.483665609522908,562.4040648903053,2.662289352034162,
K_g6p_1,17.06194986613374,116.19746527221177,130.2169611006662,116.19746527221177,130.2169611006662,B,False,True,73.35087018750085,0.0266867062604131,7.030845323915849,3.3979255221525406,572.1289239631892,552.4104777377935,10.685868366845723,471.46018237021025,5233.642372240374,520.4215104191783,947.9829804228931,674.98626718942,0.6721435473423792,537.9079249959938,2.8345522941356913,
